Class,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,ZCR_mean,ZCR_std,SC_mean,SC_std
1,-514.9961765627,72.2348892419,-36.6114848341,7.1788691884,-2.111011516,7.4134333577,-10.9937542846,-11.5114160194,-10.478763995,-6.2571117231,0.5288288426,-6.1036026756,-2.957960909,-12.8332016896,-11.470638014,-8.8828189525,-1.6942638336,6.4384343581,7.2458649682,20.9625895955,0.0223326823,0.0115844251,1207.3770974329,651.4930711353
1,-579.9385367281,102.5679710936,-51.7082281816,-14.7841666427,-9.2992061703,9.5111626118,-15.1299417318,-17.0790081896,-7.6887035593,-0.3664441072,0.6294885743,-8.0831980418,1.515478822,-10.1390418472,-10.9796597776,-16.0748958256,-15.2279695361,-7.0546407247,2.2547728797,29.8313121037,0.0420996471,0.016012173,922.9204553521,526.2858405057
1,-568.6733868639,74.6250835796,-52.1853325093,-13.3416391223,-31.6799227,-0.9175520376,-18.6358044667,-7.1897377633,-26.0209504158,-25.3147627639,-17.1908551097,-2.3634988084,33.773872427,39.1362249378,50.9978068013,31.39104857,7.0218461821,-10.6365928652,-17.7299020337,-3.6905788092,0.0430076182,0.0165952045,992.2203676985,572.145727684
1,-490.9647780563,41.8011814231,-48.8297881778,-1.4721307248,-15.0303889445,-1.1733321887,-13.4654790765,-4.6244731548,4.8897778901,15.9666523857,15.2660769297,-0.3189382296,-7.4169610694,-18.794819432,-7.0731984676,2.2635416088,9.602362321,12.099179844,13.1801296568,17.2679153547,0.0340137596,0.0201821057,1437.7138566665,579.9391801326
1,-480.5250687901,17.8880860075,-42.1681022158,-4.4205468875,-13.5247360879,8.7307808566,0.4366498291,3.2528877238,-10.9195422981,-3.0423555756,0.9254521658,6.7977022611,2.7024913763,-7.1880606291,4.286020529,12.5142340785,10.5293050212,0.0172791178,2.9968877311,-1.5998483186,0.0499544091,0.0328587725,1774.5208696176,545.3190173665
1,-467.6530032665,19.6668791128,-51.6557109841,-7.2307880888,-19.0757110114,11.0345577076,-0.9465079586,1.3307761647,-13.6385982598,-3.7567606945,2.9545264226,6.3593284397,3.660857359,-7.382926523,2.1993768363,16.073276237,14.6602210739,-0.5980059801,1.6216498879,-5.0848288506,0.0568347953,0.028746056,1755.4276774506,479.6161828553
1,-408.5830044683,67.2218709621,-64.2656751691,-7.0980417177,-16.9515115088,0.7268477536,-16.8469944243,-3.5672091374,-0.3500066595,11.855708816,23.6793345354,14.3903017385,11.2744076242,-17.6634537191,-20.6598665153,-11.9336727355,8.6236567528,20.7480898902,12.2964332615,16.3856848695,0.0535358155,0.0229521668,1043.9032244807,211.6675963157
1,-388.4082564447,46.1876602817,-53.7131356998,-17.79509884,-21.2802964712,9.9397136019,13.049904448,30.1387534015,6.039806021,-14.3410786921,-16.0783746207,-12.8297773034,10.2219306319,13.1008671259,18.0166062329,-3.7775243873,-11.7386149747,3.6858244432,10.8477518606,18.0295704325,0.059646217,0.0371513178,1107.5741209242,441.8069643978
1,-446.6936298359,66.3555737557,-50.6970087443,-20.2443502587,-24.0894509491,-16.1591563157,-24.639823645,-20.678370502,-1.818432188,15.3927781,31.6966011906,29.8174892018,19.8185537174,-8.939207392,-20.1002321614,-20.8128690326,-14.7943336134,1.5933799284,7.4639245068,13.9722988917,0.0345772764,0.0119750216,893.1728356046,491.8156970386
1,-439.9855536604,23.0857370197,-40.3192733631,-13.8236864959,-14.3249704989,26.167287618,-10.2771720275,2.4760691512,-17.1568925687,7.2531160199,-2.596281861,-12.6546535941,-3.0074565217,6.5756155817,19.4745114008,15.1417099044,12.6971710377,17.9502831933,9.7786847518,1.6314357605,0.1187905579,0.0892113391,2189.6616343381,866.4898436992
1,-523.7713896091,33.473300305,-39.5021019651,-14.7504389025,-7.3626596677,17.7559308084,12.4424008066,10.8260032269,-17.2710808001,-10.3431933569,4.3267042143,11.3675278734,8.7458848214,-5.845934699,6.8646879359,29.3071239356,26.7540764905,8.1066345065,-2.4363649342,-3.3996257189,0.0733112946,0.0338644387,1359.6966159202,513.4524064137
1,-571.780556632,106.2018629884,-21.3319185529,0.8028259285,12.5269522665,3.8478332579,1.3357143904,-3.7251875584,-13.9338515139,-14.4199361879,-11.7747191835,-14.0014947165,-8.3070194733,-10.3474199861,-9.3545408371,-2.0834060863,2.5274327171,11.4851609018,24.4128203883,41.369569547,0.0180579062,0.0051576947,625.6970200214,323.6649882001
1,-556.9556496661,74.1945803686,-24.7908029903,-9.7649712989,2.7855514749,-2.2761016565,-9.7677317141,-15.5466113066,-22.0941336661,-14.5825523549,-4.3138620758,0.9418488128,13.0165608463,17.9501227321,34.9274947383,50.6891570795,42.3077116775,18.4505331872,-9.8136983996,-17.9475988274,0.0239528111,0.0096275218,682.3601354664,341.4815833235
1,-622.1133960159,127.0357803618,-14.2886620252,7.8440389853,20.81858458,12.7409625597,8.0356333374,3.867595035,0.6630470579,-0.3734133247,0.4843657396,0.2156359402,1.6180617198,-3.8430522617,-3.0894002981,-3.0207265075,-7.5537410664,-6.4178909706,-7.1377252746,-4.8826302046,0.0157776824,0.0112470661,738.8284992967,433.2109705026
1,-558.5432159081,87.7008224317,-49.895588118,2.4743803164,-9.7143704514,5.859020173,-9.9247433739,1.3274972068,-11.2222956065,-9.1474045607,5.4505723397,16.0006543785,37.1953410935,27.9534629298,23.7339694677,2.9245691591,-12.8499213838,-14.8908234135,-5.7604602318,7.9110547971,0.0478789516,0.0192109501,952.6608756953,209.4778589363
1,-531.3193133094,33.1955525929,-40.8178886286,-0.2947842437,-13.5335573222,8.8865757019,-4.4724601049,5.6063513073,-3.0522469657,4.6044556584,-1.7014213641,-6.0453001361,0.6118265096,9.0632490276,20.0753994164,10.645624614,6.9852359178,3.731285032,1.9069690881,-2.2193667496,0.0566811592,0.0400579015,1880.2991935991,591.3655966272
1,-493.9504262337,81.0026713077,-58.2194265008,-3.1661512973,-15.9473796805,1.7417993528,-9.8592368498,-6.283967265,-7.940811908,-4.4632892761,-7.3203286845,-15.9133053772,-3.8902328957,-1.8643888605,9.3626104874,18.547870055,30.2078620817,28.0873031091,18.1378559941,3.0996639,0.0426550971,0.0213834369,1305.0939421664,662.1042799308
1,-466.0679016904,32.7214974335,-37.0588070288,-14.619441144,-21.0708920696,20.7127254051,-9.169218457,7.7858256161,-18.034252162,-2.0409275401,2.9035525443,-2.8148087007,9.1051097228,12.986859323,24.4119560247,17.9897308742,1.6704596184,7.0195682342,2.4814951855,5.1085335019,0.1359095623,0.0836772967,2932.8668601689,780.6400628644
1,-456.484141866,24.4659221026,-34.945664589,-14.2122482952,-25.6446851402,21.8414931043,-7.3474023495,11.1300903667,-20.4474870697,1.2372514196,3.9371852839,-2.891999465,2.8020883348,4.3390773365,21.6089286312,30.0249458022,10.8593597302,5.0101521947,1.8789453658,1.199054408,0.1026150533,0.0822737507,2646.611971549,685.3002611278
1,-403.1281975998,84.2080985981,-52.3430754804,-25.8281324015,-22.4355283935,-13.7871595717,-24.14655538,-21.2953416935,-9.064992291,6.3298796735,14.2575623998,8.2767258698,6.9390137639,-7.5278625721,-12.760678992,-21.2114112055,-16.0911790909,-1.3523722065,4.7063659748,15.498803033,0.0393686206,0.0184473551,878.9709293874,406.6620505244
1,-552.894370533,77.2763117215,-57.4429969841,2.200431358,-11.7770011433,20.3824916643,-6.6910942226,0.6916633769,-12.0479471796,-9.301851516,-3.500872327,-3.512299485,17.5716245775,23.1903995334,44.9068660149,34.0718402204,12.4256738581,-5.3325132434,-7.3408255698,7.7295559949,0.0528146533,0.0190168698,1153.9985311821,251.9638584704
1,-529.4908164241,102.9029600181,-30.0660365957,2.7472399929,-3.6069749101,-1.1116264001,-4.9633437647,-11.1177209258,-8.7671796094,-7.128260972,-1.0261516841,-3.0645461339,-0.3600514497,-1.9108280067,-3.380506737,-3.6649581405,-0.5186782815,0.6037793146,-4.8056884501,-6.2389138067,0.0215870348,0.0112660448,999.5782305021,640.5881976977
1,-438.3096074486,29.538464868,-52.0584094958,-9.4204144503,-13.4706005265,25.7718365623,-0.2453095813,5.8307628189,-21.8713779172,1.2948264023,7.9546717457,3.6722012799,-2.6050173335,0.512965986,21.7955171915,31.1154430467,14.2376664807,-0.3987560924,1.3516296065,2.1805541467,0.0882807466,0.041117989,1718.5999203864,496.7725092346
1,-557.0188687333,111.4886815989,-24.0382139342,-8.2731597838,16.5631751415,4.8830674368,-1.4230160813,-4.6957288394,-14.4575655907,-16.2498977836,-13.4503401206,-14.0499263879,-11.1276103762,-10.9777400704,-5.9641541073,-0.5121009433,0.3548518897,11.0160545034,27.0941947172,41.3812027533,0.0194241166,0.0062682028,620.3044576334,344.4178422883
1,-409.2184178847,65.7533157043,-67.046156976,-5.7426216227,-9.0975786105,10.7900897598,-10.5103950839,1.0666292166,-15.0215643191,-9.6274862459,7.5364130929,13.3193535017,28.6689582901,11.6263767348,3.3227670099,-12.8374579392,-16.6152260182,-6.2002371748,6.5452239051,10.0212614004,0.0573905591,0.0181318525,1176.3846579966,234.9398761711
1,-377.4170901836,52.6662744006,-61.005027275,-16.5406023232,-22.2836253912,3.1774381298,-6.6451730974,17.601256663,6.5585047513,-5.8844333646,-12.6566757043,-17.2210091539,3.5308655623,10.9312975124,32.2182732411,21.7788291048,3.1347368904,1.5684410485,6.82202226,5.6497492086,0.0582064214,0.0325384138,1178.8992281829,393.5202802249
1,-469.5686333462,46.9581528389,-52.6805802374,-3.5763057104,-19.1223891952,3.1910259247,-17.18646192,-5.2181215393,-3.6397994669,10.5608979014,11.7611732472,9.3863922806,13.1293321121,-5.2484512071,-12.7580697724,-18.0925446777,-4.6670204852,8.1883438214,7.7623955793,5.3875174566,0.0485463035,0.0280796141,1379.7769197499,515.7560392313
1,-628.8235050714,124.6731036794,-39.7397533921,16.3237550468,-15.7423329372,14.4936665108,-13.5351115752,4.1842470587,-10.7579330645,-3.9217629208,3.1921415904,4.3949385704,2.0787448638,-14.5087523904,-2.1593491886,-0.8905626857,-1.1888580459,-5.7603658226,-5.7258497408,-0.3123836897,0.0345024369,0.0128369823,1253.6766734346,702.6792985145
1,-367.7611836138,10.1521396309,-48.5530740647,-5.4006378384,-7.7746213466,20.2806770666,-9.2899006864,-0.564759534,-15.4054792258,12.7515996959,-2.4013184371,-13.431461051,-8.0572797128,8.5678219957,23.4047987934,12.3936504001,11.0130904656,18.1747632354,7.1902360559,1.2045746022,0.0899375259,0.0449525976,1739.4510508985,534.2864572143
1,-494.8109855176,57.1055250212,-40.2799472126,2.9132113298,-9.5372165919,-1.6900907974,-12.6781680437,-8.5580686301,-11.3433039387,-9.9802506994,-4.4513982764,0.5055630734,19.4544215254,19.4099200271,24.306676497,15.7727965487,5.8957359786,-3.2781040522,-9.8716538744,-1.0267164266,0.0278637474,0.0184935634,1303.9020867693,579.2807427464
1,-516.4467589565,102.5011123052,-37.691908831,-11.777574635,-2.4874094143,1.8418113559,-10.3515598036,-20.2139477104,-17.4494133328,-8.5622553428,-0.9600718943,-1.9645339344,-4.033508536,-18.6826861753,-15.8306409995,-11.6027960021,-11.1266247486,-3.2764824407,5.0021326568,26.3858624279,0.031100685,0.0090558193,720.5819810885,423.4094404267
1,-586.3283869158,108.1000699606,-15.6510903697,4.1444306758,12.798869034,8.3221961885,7.3308834988,0.2648163198,-11.0254205681,-17.2021121486,-14.2219350066,-11.6240271429,-8.729064156,-12.7363111464,-10.0869708549,-3.8166808877,-2.5747486886,-0.3235562322,-1.3285360303,4.8567552418,0.0164717662,0.0050362852,652.6849535802,386.1622937964
1,-430.012413425,105.3345681496,-47.6385989101,-10.4274950484,-14.1987289058,-0.7310730475,-25.4725679347,-22.8053726262,-15.9292835651,-7.9529773082,2.5397188309,-7.1815023645,-6.1733751846,-22.2803733797,-14.5904065541,-9.9479966975,-13.1328676623,-6.856312061,2.1910520537,28.0918132096,0.0334882464,0.0090304704,880.7716918016,456.8570914039
1,-401.2955864682,47.5182948953,-49.5381300561,-10.0419255909,-25.518371712,1.236024641,-9.9455882657,12.8755492066,8.7233139611,17.4126195284,14.3838370259,-2.3050231052,-6.8000077086,-24.9056326445,-7.7956615573,12.0537641137,29.6536702731,33.7503273392,25.4618317566,20.6114187247,0.0499849601,0.0439967796,1159.2248501339,426.3229803747
1,-554.0755506279,86.9096616868,-30.5013381255,10.0754963968,-4.2877928947,7.1735680811,-7.8530723712,-1.4279391171,-1.5384712642,-7.4658932031,-6.4935395251,-8.053871533,2.8872140517,-3.4193800686,-3.2137654029,-4.3528884597,0.0557801454,-1.3506655505,-9.0896437899,-5.8528401526,0.0287519122,0.0166733676,1207.9614840135,685.8731330486
1,-423.5390457742,31.9442707417,-58.7716038742,-8.536476336,-30.9592700222,3.1131773732,0.5173219868,13.2295023435,-3.2720012862,-13.6390731049,-11.054115602,-2.0330448769,12.2613848311,2.7322688157,-9.1692335666,-16.9817085839,10.6606692001,21.3604812364,12.5969113533,12.9904441321,0.0559473004,0.0185609157,1419.1609256851,440.0055401479
1,-560.4729713679,116.8399340953,-25.3019589419,8.7284812103,21.1335005692,12.6631193996,1.3880137413,-5.7641069431,-14.9093423031,-17.8368115293,-12.4924590141,-9.0022639535,-1.0164724866,-11.0655537709,-14.2401222637,-12.1506450515,-12.6752358885,-5.3697258573,-2.9042278464,1.1544441923,0.0187205383,0.0080870443,595.0282458385,326.3219170663
1,-489.2622153829,89.2330504565,-36.1950909784,1.0046123793,-5.0676311367,-0.6238747251,-7.7532503526,-10.8491701436,-12.6275114982,-12.4051241004,-5.1213045676,-6.9346615755,-1.1516169609,-7.5446626943,-9.1380001614,-8.8523294943,-7.0431182196,-7.2584638901,-13.8746582551,-10.1878202836,0.0266807855,0.0114745053,1093.2284885883,725.7848778204
1,-525.021252606,77.6305193415,-32.851115463,8.2896050373,-6.4325743804,0.6955834422,-10.3062393009,-3.5630221096,-7.0480414881,-7.2678710195,-4.9613304059,-11.170644601,-2.9743473184,-9.0319251779,-1.9737464601,-0.5116939729,-5.099843792,-12.2313792117,-15.3304533956,-4.7267991679,0.0245237734,0.0120667515,1267.6613044231,775.7264753809
1,-447.2276704958,34.745583163,-57.6498728206,-1.740034329,-13.6528775251,20.7831324684,-1.6957396503,16.5664503173,-17.0211108934,-2.3635136212,4.7846925966,7.0029853529,0.2361989495,-6.3405552148,13.0016558024,28.4738680616,22.0767586945,4.7702261576,10.4993164194,3.4083142098,0.0937409368,0.0672843416,1877.1984576658,512.0817214794
1,-462.2977271469,98.5629454578,-40.9231271208,-6.2809251826,-14.1050276084,1.8523328609,-23.5356788819,-17.7311175734,-11.6996542015,-7.1180475284,0.2571917721,-10.3713638743,-4.5770943839,-15.3932636128,-9.8112328509,-11.4788879485,-14.7814409969,-6.8629617948,3.9478058671,28.9118399339,0.0322427576,0.0103727971,945.3245492273,595.0647849017
1,-404.4071385837,47.4263357838,-48.5742051428,-16.4871480879,-8.922328485,7.2957037805,11.4520993877,23.9877738735,1.0510717947,-12.896282633,-11.6505962733,-5.3646154974,16.245184675,12.3511817065,5.0498156888,-10.9484226254,-4.6118147722,14.9501220984,22.0933694052,26.2852312805,0.0622768181,0.0398472041,1114.9354801266,478.7588811281
1,-511.2329330094,65.3813567111,-57.8274343446,3.6282870908,-16.8870602664,5.8818692327,-13.4177061938,-6.163072484,-14.5204480938,-2.8937321064,-1.1223371846,-8.569218317,7.1094366496,14.7094316532,32.4203959372,30.5518654565,20.2952342398,8.0035426168,-3.4949339645,-12.6389922937,0.0401474852,0.0195053711,1310.4675305827,450.1334700079
1,-491.5839916987,63.8067445447,-44.2957960672,2.0258908666,-11.0846265951,-5.1317963977,-12.3916538324,-13.5591080159,-13.6547903387,-7.4612733135,-4.1934027941,-13.8170779537,-8.2594218605,-9.6196359591,8.5893556744,24.8876500071,34.4851396893,34.1658317753,18.0110276898,6.7664862928,0.0281303026,0.0137301374,1243.6688029601,715.6070042819
1,-591.242906015,131.1501580392,-45.4756952531,19.0702428607,-20.5170797503,16.3064684543,-18.9812187322,4.918647643,-13.2753106063,-4.9103309989,1.4719941226,-0.4664456023,-0.207637211,-13.3161319902,-2.0283245852,-4.6624522922,-6.5898478071,-5.7002865279,-5.2610243696,-2.2634579556,0.0360664127,0.0118983344,1062.165319283,544.609532685
1,-448.2111404948,104.3368263997,-35.9894462254,9.2467553592,-3.3077786753,15.6492404311,-6.7096584253,-4.4371027514,-9.3014813992,-9.6623535257,1.2410914055,-1.3622869688,3.6334169769,-4.9298442573,2.4932191255,3.7746112922,1.1301316539,-3.808105878,-7.3544420529,1.4603028676,0.029761096,0.017569595,889.8878108412,295.13242177
1,-492.8461863633,32.5688156691,-51.3243580952,-2.7533117961,-22.840433923,4.4271550081,-3.4678505663,8.4210154729,1.6978776031,0.6819341539,-2.9047725143,-11.3522367334,-2.4058611927,2.9054315969,26.0994585151,21.2646804438,6.4102377012,-2.6449329619,-3.1617703105,-1.3364207037,0.0399441189,0.0191313232,1576.5041966893,374.1083904404
1,-557.009303422,87.9890559918,-32.671300393,8.3639216643,-1.6109183862,2.7479084094,-4.8359369691,-0.1163805659,-1.3981273699,-9.1177155648,-7.1142160313,-6.4245039346,3.2495613025,-2.3406732377,-3.2154546066,-5.9618705821,-3.7077235552,-1.3179258207,-9.4257595092,-9.6851680889,0.024575838,0.012726193,1199.1282185785,686.6716193699
1,-560.8579875869,105.6522680151,-23.0752795219,-0.1785675142,4.2429126391,-2.8444378483,-2.9431568798,-2.1717778555,-14.2688767588,-22.7329784375,-19.458678901,-14.3846935484,-1.3204721755,-7.172031231,-8.6593604526,-1.3361446411,7.4976842048,31.2053751046,49.2404526511,53.8198386261,0.0195168282,0.0055476945,610.4626526679,294.7506854252
1,-596.8662786746,81.2364403565,-57.8574187739,-13.2570877517,-11.600220774,3.0348322622,-11.8015686602,-7.9788013494,-9.1258714196,-7.1997058246,-5.7904486845,-16.916651423,-4.2783327868,3.530776346,30.1941198478,41.0846547911,42.2773036474,36.3797652974,12.3074542304,-4.5882808313,0.038682546,0.0146459079,1164.5179635626,677.2739579335
1,-374.8143145275,47.6465193328,-59.6671062474,-20.2597852948,-19.3939777927,7.7992535306,12.2307408592,34.4953926215,8.6568490594,-12.345377437,-20.3127671674,-17.2064166307,11.3613578927,13.6431952545,19.7505608986,-4.7387235466,-13.0789292573,4.6689183254,14.2623532407,22.3205718123,0.0617965226,0.0400553243,1062.9004951654,451.4179479336
1,-429.2380363665,89.7447733242,-41.7429033617,8.7464341631,6.4689973142,16.2694652507,-4.2338895656,-3.0301333637,-11.9508942343,-15.8248913086,-5.8129326824,-6.2498953574,-0.8444616274,-15.3652411194,-9.2748042362,-5.3774738825,-6.0009297733,-5.4466192362,-8.222838917,0.945280187,0.0222115335,0.0124165095,813.0437881144,228.8565790053
1,-546.4150479154,87.7669806786,-30.7830682577,-16.1120134898,0.5559002876,1.3476328869,-0.8963783026,-8.5635881976,-20.2614211758,-19.4949730754,-12.0902921585,-5.9036697104,1.5140245924,-3.1502629508,6.7070365699,27.3999114108,45.1219737067,55.6706613844,40.666871551,13.1288883613,0.0213762114,0.0072369531,636.828714189,264.710766856
1,-588.9645301141,66.1678740822,-44.1685074617,-12.5236549921,-20.189667813,-2.7970356454,-12.7636915683,-11.3437562885,-21.9948531335,-20.5174191775,-10.6653027714,-1.468512833,28.4265561793,34.6529904651,44.0078883084,27.5931264167,5.0613912529,-6.1702124166,-15.6648538018,-3.7422105281,0.0308403234,0.0205031887,1166.7287402289,740.1329907717
1,-505.1219765923,30.7385527462,-39.5889349872,-17.9242834463,-7.7338719717,23.5292590149,14.3858856804,9.9034757267,-20.9654065745,-9.8568784902,6.7130628717,13.1343896349,9.2664185421,-7.6440087557,5.4954101687,28.6601901272,27.3815384287,6.8834776339,-0.6282389673,-4.027279349,0.0781116083,0.0516055602,1379.1473681283,649.8734389727
